"LURN_SAK","INCIDENT_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","X_COORDINATE","Y_COORDINATE","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
17060342,"2015-03-27 17:20:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","13600 W OXNARD ST, VAN NUYS, CA 91401","13600 W OXNARD ST","VAN NUYS","91401",6431561.9687939351,1887927.2456364965,"915-01818-6717","6717","01818","CA0190031","TRANSIT SERV BUR","N"
17062152,"2015-03-27 15:40:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","43100 15TH ST W, LANCASTER, CA","43100 15TH ST W","LANCASTER",,6514561.4152994212,2064684.073484262,"915-05516-1126","1126","05516","CA0190024","LANCASTER","N"
17060016,"2015-03-27 14:30:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","24100 AVENIDA CRESCENTA, VALENCIA, CA 91355","24100 AVENIDA CRESCENTA","VALENCIA","91355",6393493.8195486357,1961703.7718496714,"915-04133-0624","0624","04133","CA0190006","SANTA CLARITA VALLEY","N"
17059933,"2015-03-27 14:00:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","12500 183RD ST, CERRITOS, CA 90703","12500 183RD ST","CERRITOS","90703",6541839.971031988,1773347.6707905089,"915-01211-2316","2316","01211","CA01900R7","CERRITOS","N"
17063377,"2015-03-27 13:30:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","800 N ALAMEDA, LOS ANGELES, CA","800 N ALAMEDA","LOS ANGELES",,6489722.3368905652,1842461.2345424141,"915-01879-6891","6891","01879","CA0190031","TRANSIT SERV BUR","N"
17061381,"2015-03-27 12:40:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","23900 AVENIDA ENTRANA, VALENCIA, CA 91355","23900 AVENIDA ENTRANA","VALENCIA","91355",6394280.8927814122,1960849.6794893479,"915-04206-0624","0624","04206","CA0190006","SANTA CLARITA VALLEY","N"
17059911,"2015-03-27 11:45:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","9500 LEMON AVE, TEMPLE CITY, CA 91780","9500 LEMON AVE","TEMPLE CITY","91780",6541972.6618269626,1865701.7230827305,"915-03798-0521","0521","03798","CA0190005","TEMPLE","N"
17063127,"2015-03-27 09:15:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","800 VIGNES ST, LOS ANGELES, CA 90012","800 VIGNES ST","LOS ANGELES","90012",6491241.9763411703,1842704.5672499505,"915-01869-6401","6401","01869","CA0190031","TRANSIT SERV BUR","N"
17059894,"2015-03-27 08:12:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","39000 163RD ST E, PALMDALE, CA 93591","39000 163RD ST E","PALMDALE","93591",6610151.410679616,2037488.9970264607,"915-05375-1197","1197","05375","CA0190024","LANCASTER","N"
17059287,"2015-03-27 04:20:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","23900 PASATIEMPO LN, HARBOR CITY, CA","23900 PASATIEMPO LN","HARBOR CITY",,6471360.3004905134,1752361.0883191284,"915-03194-1698","1698","03194","CA0190016","CARSON","N"
17059631,"2015-03-27 01:45:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","1200 S WADSWORTH AVE, COMPTON, CA","1200 S WADSWORTH AVE","COMPTON",,6484444.7779515507,1780183.1794522302,"915-03860-2831","2831","03860","CA0190042","COMPTON","N"
17061253,"2015-03-26 21:10:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","1600 W AVENUE H-1, LANCASTER, CA 93535","1600 W AVENUE H-1","LANCASTER","93535",6513477.526279,2083489.782635,"915-05466-1121","1121","05466","CA0190024","LANCASTER","N"
17059076,"2015-03-26 20:00:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","15900 IMPERIAL HWY, LA MIRADA, CA 90638","15900 IMPERIAL HWY","LA MIRADA","90638",6564226.6122047305,1791988.4953281588,"915-04004-0468","0468","04004","CA0190004","NORWALK","N"
17063581,"2015-03-26 18:22:30","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","23300 LYONS AVE, NEWHALL, CA 91321","23300 LYONS AVE","NEWHALL","91321",6398400.7589013204,1960894.2817803654,"915-04329-0624","0624","04329","CA0190006","SANTA CLARITA VALLEY","N"
17070859,"2015-03-26 18:00:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","500 W CYPRESS ST, COMPTON, CA 90220","500 W CYPRESS ST","COMPTON","90220",6491421.8107579164,1782258.3769215145,"915-04366-2835","2835","04366","CA0190042","COMPTON","N"
17058890,"2015-03-26 17:30:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","2300 MALL LOOP RD, LANCASTER, CA 93534","2300 MALL LOOP RD","LANCASTER","93534",6510333.2933883937,2077792.1871673681,"915-05318-1127","1127","05318","CA0190024","LANCASTER","N"
17072120,"2015-03-26 15:12:30","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","5600 W JEFFERSON BLVD, LOS ANGELES, CA 90016","5600 W JEFFERSON BLVD","LOS ANGELES","90016",6449303.0942485761,1832218.7701220193,"915-02049-6621","6621","02049","CA0190031","TRANSIT SERV BUR","N"
17063274,"2015-03-26 12:00:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","1100 FICKEWIRTH AVE, LA PUENTE, CA","1100 FICKEWIRTH AVE","LA PUENTE",,6577623.2036225768,1837528.2715155077,"915-03750-1432","1432","03750","CA0190014","INDUSTRY","N"
